sex,wave,age,annhrs,annwks,yrsexp,annlabinc,region
1,1981,31,2076,50.0,13.0,18200.0,4.0
1,1981,60,2075,50.0,41.0,10745.0,3.0
1,1981,28,1968,48.0,9.0,14300.0,2.0
1,1981,29,823,21.0,10.0,6000.0,4.0
2,1981,42,1813,49.0,11.0,13500.0,1.0
2,1981,27,1868,47.0,6.0,18000.0,2.0
1,1981,44,1864,47.0,23.0,22280.0,2.0
1,1981,31,2200,50.0,13.0,14996.0,3.0
1,1981,30,2506,50.0,12.0,16000.0,4.0
1,1981,28,1680,42.0,10.0,23000.0,3.0
2,1981,30,1000,25.0,12.0,2000.0,3.0
2,1981,30,954,48.0,9.0,12000.0,2.0
2,1981,27,2000,50.0,4.0,7750.0,3.0
2,1981,36,1400,40.0,17.0,26900.0,1.0
2,1981,31,1960,49.0,10.0,10000.0,2.0
1,1981,58,2784,48.0,28.0,28000.0,2.0
2,1981,26,1960,49.0,8.0,8653.0,4.0
1,1981,47,2108,48.0,29.0,21000.0,1.0
1,1981,54,2070,46.0,36.0,26000.0,2.0
1,1981,36,2309,49.0,10.0,18000.0,3.0
1,1981,44,2750,50.0,26.0,16150.0,3.0
1,1981,41,1908,48.0,23.0,18000.0,3.0
1,1981,37,2010,50.0,19.0,15000.0,4.0
2,1981,31,1983,49.0,12.0,14576.0,4.0
1,1981,46,2142,49.0,28.0,24000.0,4.0
2,1981,54,1750,50.0,24.0,1700.0,2.0
2,1981,36,1428,51.0,15.0,4500.0,3.0
1,1981,28,1994,46.0,10.0,11303.0,2.0
1,1981,43,2060,50.0,25.0,14400.0,3.0
1,1981,53,1800,45.0,35.0,7600.0,3.0
1,1981,31,2405,36.0,12.0,11500.0,4.0
1,1981,52,1920,48.0,34.0,42500.0,2.0
2,1981,30,442,13.0,4.0,1250.0,2.0
1,1981,29,2488,50.0,11.0,12000.0,3.0
1,1981,29,2107,49.0,11.0,30000.0,3.0
1,1981,26,2000,50.0,8.0,13480.0,3.0
2,1981,33,1702,49.0,10.0,5000.0,3.0
1,1981,29,2792,48.0,11.0,25380.0,2.0
1,1981,43,2570,51.0,25.0,21000.0,3.0
1,1981,25,720,18.0,7.0,3200.0,3.0
2,1981,52,1725,46.0,33.0,7376.0,1.0
2,1981,26,1560,39.0,8.0,4500.0,3.0
2,1981,51,1176,49.0,32.0,7000.0,2.0
1,1981,29,1618,36.0,11.0,12000.0,2.0
1,1981,34,2160,41.0,11.0,11000.0,3.0
1,1981,44,1814,48.0,26.0,18000.0,1.0
1,1981,25,1914,42.0,7.0,10400.0,2.0
1,1981,54,2540,51.0,36.0,54000.0,3.0
1,1981,28,2430,49.0,10.0,34000.0,3.0
2,1981,34,1560,38.0,13.0,12000.0,3.0
2,1981,40,2254,49.0,16.0,12000.0,2.0
2,1981,35,1930,39.0,17.0,18000.0,2.0
1,1981,32,1880,47.0,10.0,20556.0,4.0
1,1981,29,2793,48.0,11.0,27500.0,1.0
2,1981,26,2080,49.0,8.0,11030.0,4.0
1,1981,40,2205,49.0,22.0,10000.0,3.0
1,1981,38,2820,47.0,19.0,28000.0,3.0
2,1981,47,2000,50.0,18.0,10600.0,1.0
2,1981,43,2088,52.0,6.0,5000.0,3.0
2,1981,46,1193,48.0,12.0,3500.0,4.0
1,1981,53,1910,47.0,34.0,16972.0,3.0
1,1981,52,1662,39.0,32.0,8062.0,4.0
1,1981,31,2060,49.0,13.0,13000.0,3.0
1,1981,34,2106,35.0,16.0,17900.0,4.0
2,1981,30,1912,47.0,11.0,9470.0,4.0
1,1981,29,1606,46.0,10.0,10800.0,1.0
1,1981,30,2362,49.0,12.0,21900.0,3.0
2,1981,56,1040,52.0,11.0,2080.0,2.0
2,1981,25,624,26.0,2.0,650.0,3.0
1,1981,29,2728,50.0,11.0,22000.0,1.0
1,1981,25,2312,50.0,3.0,15400.0,2.0
2,1981,28,1234,29.0,10.0,10000.0,2.0
1,1981,43,4730,49.0,25.0,39800.0,2.0
1,1981,37,2040,51.0,19.0,28000.0,4.0
1,1981,58,1890,42.0,34.0,25900.0,2.0
2,1981,28,2544,39.0,10.0,3600.0,2.0
1,1981,36,2400,48.0,15.0,40000.0,3.0
2,1981,50,1560,39.0,11.0,5000.0,4.0
2,1981,25,1484,37.0,7.0,4000.0,3.0
1,1981,28,1881,49.0,10.0,12000.0,3.0
1,1981,29,2319,48.0,5.0,38000.0,1.0
1,1981,35,2304,38.0,17.0,16000.0,2.0
1,1981,51,2530,50.0,33.0,18000.0,1.0
1,1981,27,1696,42.0,9.0,5000.0,3.0
1,1981,40,2142,51.0,22.0,12000.0,3.0
1,1981,27,3000,50.0,9.0,49860.0,2.0
1,1981,27,2286,51.0,8.0,27000.0,3.0
1,1981,25,1560,39.0,6.0,5000.0,3.0
2,1981,32,462,39.0,14.0,6000.0,1.0
2,1981,48,2137,47.0,9.0,8173.0,1.0
1,1981,25,1932,44.0,7.0,12600.0,1.0
2,1981,34,1297,35.0,12.0,21000.0,2.0
2,1981,29,1656,46.0,10.0,9615.0,1.0
2,1981,50,1884,45.0,25.0,11943.0,1.0
2,1981,49,1373,50.0,26.0,7000.0,2.0
1,1981,40,3185,49.0,22.0,13550.0,3.0
2,1981,64,2024,50.0,40.0,15500.0,4.0
2,1981,49,2093,49.0,20.0,13000.0,3.0
1,1981,29,2500,50.0,11.0,21000.0,3.0
2,1981,28,400,10.0,9.0,3000.0,3.0
1,1981,28,3491,48.0,10.0,33500.0,4.0
1,1981,60,2040,51.0,38.0,9620.0,3.0
2,1981,56,920,46.0,35.0,3000.0,2.0
1,1981,52,2106,45.0,33.0,24900.0,1.0
1,1981,26,1900,40.0,8.0,13444.0,3.0
1,1981,25,2550,51.0,7.0,16000.0,3.0
1,1981,32,1914,48.0,14.0,12500.0,3.0
1,1981,32,3430,49.0,12.0,26000.0,3.0
1,1981,30,2000,50.0,12.0,10200.0,3.0
2,1981,50,1840,46.0,14.0,11696.0,2.0
1,1981,29,2040,51.0,10.0,16000.0,2.0
2,1981,36,2210,48.0,18.0,15800.0,3.0
1,1981,25,2304,49.0,7.0,15000.0,1.0
2,1981,49,1480,42.0,31.0,7500.0,3.0
1,1981,33,1510,37.0,15.0,17000.0,3.0
2,1981,51,1875,50.0,22.0,17000.0,2.0
2,1981,41,1960,49.0,20.0,15732.0,3.0
2,1981,31,1920,48.0,12.0,8000.0,3.0
1,1981,50,1600,40.0,30.0,18000.0,1.0
1,1981,27,1824,48.0,9.0,18900.0,1.0
2,1981,27,1960,49.0,9.0,9114.0,3.0
1,1981,34,1952,49.0,16.0,16200.0,4.0
2,1981,43,1936,48.0,17.0,12766.0,1.0
1,1981,25,1864,47.0,6.0,7500.0,3.0
1,1981,29,2295,51.0,11.0,19000.0,3.0
2,1981,32,1819,43.0,14.0,21000.0,3.0
1,1981,26,2016,50.0,8.0,30000.0,4.0
2,1981,34,1980,47.0,16.0,12500.0,2.0
2,1981,38,3458,48.0,19.0,14000.0,1.0
1,1981,34,2450,49.0,15.0,33500.0,2.0
1,1981,27,2192,51.0,6.0,15200.0,2.0
1,1981,28,3331,52.0,10.0,31800.0,3.0
1,1981,37,2083,50.0,19.0,11000.0,3.0
1,1981,59,2000,50.0,41.0,10400.0,3.0
1,1981,58,1920,48.0,39.0,28000.0,4.0
1,1981,34,2115,47.0,16.0,30000.0,2.0
2,1981,52,1265,51.0,18.0,5700.0,4.0
1,1981,34,2000,40.0,11.0,14400.0,2.0
2,1981,59,1864,47.0,34.0,12285.0,4.0
1,1981,52,1505,37.0,34.0,8745.0,3.0
1,1981,39,1720,43.0,20.0,7833.0,3.0
2,1981,63,2040,51.0,45.0,7353.0,4.0
1,1981,27,2000,50.0,9.0,9000.0,3.0
2,1981,33,2779,50.0,12.0,17500.0,4.0
2,1981,48,766,48.0,10.0,8304.0,2.0
1,1981,32,1777,49.0,11.0,17655.0,1.0
2,1981,43,1575,42.0,9.0,15000.0,3.0
1,1981,29,2178,48.0,5.0,13800.0,3.0
2,1981,30,1520,38.0,11.0,12400.0,3.0
2,1981,30,1984,48.0,12.0,12000.0,1.0
2,1981,29,715,17.0,5.0,2800.0,4.0
2,1981,50,1240,31.0,20.0,4000.0,3.0
1,1981,36,2080,52.0,17.0,16000.0,1.0
1,1981,40,1800,45.0,22.0,17357.0,3.0
1,1981,52,3920,50.0,34.0,16000.0,3.0
2,1981,42,1752,37.0,15.0,11000.0,2.0
1,1981,27,3156,49.0,9.0,17060.0,1.0
1,1981,32,2180,52.0,14.0,34000.0,1.0
2,1981,52,1236,52.0,21.0,9000.0,4.0
1,1981,28,400,50.0,10.0,12000.0,3.0
2,1981,26,85,2.0,7.0,359.0,3.0
2,1981,33,2100,50.0,9.0,15000.0,2.0
1,1981,57,1849,52.0,38.0,8000.0,1.0
1,1981,33,1548,52.0,14.0,20000.0,4.0
2,1981,32,2000,50.0,13.0,18000.0,3.0
1,1981,61,1945,48.0,43.0,17000.0,1.0
1,1981,34,1469,41.0,16.0,23960.0,1.0
1,1981,40,2000,50.0,13.0,15000.0,3.0
2,1981,44,980,49.0,25.0,3000.0,3.0
1,1981,29,2910,49.0,11.0,29000.0,3.0
1,1981,43,2154,51.0,25.0,16000.0,3.0
2,1981,42,2912,44.0,24.0,27000.0,1.0
1,1981,44,2500,50.0,26.0,38200.0,4.0
2,1981,25,2072,52.0,7.0,7953.0,4.0
2,1981,29,705,47.0,5.0,2600.0,2.0
1,1981,53,2134,49.0,35.0,55000.0,1.0
2,1981,32,360,12.0,11.0,720.0,3.0
2,1981,42,1760,44.0,24.0,8000.0,3.0
2,1981,53,2080,52.0,25.0,16000.0,2.0
2,1981,44,1636,40.0,21.0,4000.0,3.0
2,1981,38,2020,50.0,18.0,6125.0,3.0
1,1981,59,2065,50.0,41.0,19600.0,2.0
1,1981,40,2100,50.0,22.0,16000.0,3.0
1,1981,33,1521,47.0,13.0,11000.0,3.0
2,1981,25,2040,51.0,6.0,12000.0,4.0
1,1981,28,2362,49.0,10.0,24600.0,2.0
2,1981,30,1998,45.0,12.0,22000.0,2.0
2,1981,42,391,39.0,14.0,2500.0,2.0
1,1981,32,2040,49.0,13.0,24000.0,1.0
2,1981,29,1020,51.0,11.0,10000.0,3.0
2,1981,26,1932,48.0,6.0,6000.0,3.0
2,1981,48,1520,38.0,12.0,10000.0,1.0
2,1981,27,2350,47.0,9.0,16000.0,1.0
2,1981,31,3015,50.0,10.0,11000.0,2.0
2,1981,46,1912,48.0,28.0,9364.0,2.0
