56,2400,46.0,34.0,28000.0,3.0;28,2320,46.0,10.0,15200.0,1.0;44,1864,47.0,23.0,22280.0,2.0;54,1680,42.0,36.0,28700.0,4.0;32,2016,48.0,14.0,10600.0,3.0;26,2040,49.0,8.0,15000.0,2.0
48,2090,47.0,30.0,25000.0,1.0;27,1920,48.0,8.0,9808.0,1.0;33,2728,50.0,12.0,14314.0,3.0;64,1322,41.0,42.0,5000.0,3.0;25,3250,50.0,7.0,15000.0,3.0;31,1920,48.0,12.0,8000.0,3.0
27,1848,43.0,9.0,24000.0,4.0;26,1840,46.0,6.0,17000.0,4.0;32,2180,47.0,10.0,35500.0,3.0;46,2040,51.0,28.0,9000.0,3.0;35,2800,48.0,17.0,22000.0,3.0;52,760,38.0,30.0,5250.0,1.0
42,1640,33.0,17.0,20661.0,1.0;50,2080,50.0,32.0,15000.0,4.0;51,1920,48.0,33.0,25500.0,2.0;35,2304,38.0,17.0,16000.0,2.0;28,1888,47.0,10.0,20000.0,3.0;43,1960,49.0,25.0,8200.0,3.0
50,2011,49.0,30.0,8293.0,3.0;55,2000,50.0,20.0,5000.0,3.0;33,1912,48.0,10.0,25000.0,2.0;37,2621,49.0,19.0,19500.0,4.0;26,2856,52.0,8.0,24000.0,3.0;57,1837,49.0,37.0,6018.0,1.0
57,1960,47.0,39.0,24000.0,3.0;33,3700,49.0,15.0,33000.0,1.0;38,2880,48.0,20.0,34000.0,2.0;58,1890,42.0,34.0,25900.0,2.0;28,3120,52.0,9.0,10000.0,4.0;48,2000,50.0,10.0,9000.0,3.0
28,172,4.0,10.0,700.0,3.0;28,1680,42.0,10.0,5025.0,3.0;27,2263,49.0,9.0,13000.0,1.0;27,1380,23.0,8.0,7500.0,2.0;60,1920,48.0,42.0,39600.0,2.0;33,1852,39.0,15.0,6880.0,3.0
46,2806,35.0,28.0,15936.0,2.0;54,1460,34.0,36.0,21500.0,1.0;53,1745,47.0,35.0,65000.0,1.0;39,1960,49.0,20.0,19000.0,3.0;27,320,8.0,3.0,3200.0,2.0;26,1584,40.0,7.0,5900.0,3.0
27,2420,48.0,9.0,18300.0,4.0;45,2020,48.0,17.0,23000.0,1.0;47,1222,29.0,28.0,7140.0,3.0;26,2256,48.0,8.0,29120.0,3.0;30,2009,48.0,12.0,26000.0,4.0;33,1380,35.0,15.0,16560.0,4.0
60,3852,47.0,42.0,26000.0,2.0;63,1736,43.0,44.0,5000.0,3.0;41,2988,50.0,23.0,21000.0,3.0;29,2165,49.0,11.0,28000.0,3.0;39,2805,51.0,21.0,34000.0,3.0;31,911,51.0,8.0,3400.0,3.0
