25,MA,2001,81.717972,161496,0,0;25,MA,2002,82.351906,163871,0,0;25,MA,2003,82.210892,166178,0,0;25,MA,2004,83.915596,169006,0,0;25,MA,2005,83.74762,173358,0,0;25,MA,2006,82.83947,177348,0,0;25,MA,2007,82.900215,177446,0,0;25,MA,2008,84.181229,178609,0,0;25,MA,2009,83.353889,180837,0,0;25,MA,2010,84.919205,179078,0,0;25,MA,2011,84.441826,178424,0,0;25,MA,2012,84.268677,179146,0,0;25,MA,2013,85.750557,180741,0,0;25,MA,2014,85.232094,179149,0,0
26,MI,2001,79.234596,290411,0,0;26,MI,2002,80.324501,301496,0,0;26,MI,2003,80.336838,311452,0,0;26,MI,2004,80.37886,317388,0,0;26,MI,2005,81.021988,323381,0,0;26,MI,2006,81.25489,333004,0,0;26,MI,2007,81.517532,340604,0,0;26,MI,2008,80.757889,351409,0,0;26,MI,2009,79.355789,363779,0,0;26,MI,2010,81.227737,368354,0,0;26,MI,2011,80.725357,375629,0,0;26,MI,2012,80.393303,375516,0,0;26,MI,2013,80.62941,378627,0,0;26,MI,2014,80.418671,360156,0,0
27,MN,2001,80.659615,114237,0,0;27,MN,2002,83.187828,118815,0,0;27,MN,2003,83.18541,122533,0,0;27,MN,2004,82.303871,124869,0,0;27,MN,2005,83.770065,127357,0,0;27,MN,2006,82.218712,129192,0,0;27,MN,2007,84.445076,130878,0,0;27,MN,2008,82.859787,133297,0,0;27,MN,2009,81.52317,135329,0,0;27,MN,2010,82.148331,134829,0,0;27,MN,2011,83.649467,134983,0,0;27,MN,2012,83.012161,133953,0,0;27,MN,2013,82.716049,132962,0,0;27,MN,2014,82.272415,132420,0,0
28,MS,2001,80.975616,132239,0,0;28,MS,2002,82.520042,139357,0,0;28,MS,2003,82.019318,142195,0,0;28,MS,2004,81.971703,143773,0,0;28,MS,2005,81.988708,143588,0,0;28,MS,2006,81.882439,145441,0,0;28,MS,2007,83.036819,148272,0,0;28,MS,2008,83.469849,150630,0,0;28,MS,2009,81.001335,153345,0,0;28,MS,2010,81.666969,151271,0,0;28,MS,2011,82.089134,148880,0,0;28,MS,2012,81.316063,149386,0,0;28,MS,2013,80.985146,150376,0,0;28,MS,2014,80.429794,142033,0,0
29,MO,2001,81.523888,198249,0,0;29,MO,2002,81.635414,206415,0,0;29,MO,2003,81.288651,209612,0,0;29,MO,2004,81.162804,213139,0,0;29,MO,2005,81.958069,215144,0,0;29,MO,2006,81.59626,218730,0,0;29,MO,2007,82.6231,220745,0,0;29,MO,2008,81.199471,223433,0,0;29,MO,2009,80.849731,227870,0,0;29,MO,2010,81.500084,224857,0,0;29,MO,2011,80.542496,220064,0,0;29,MO,2012,82.430565,218954,0,0;29,MO,2013,81.308762,219998,0,0;29,MO,2014,80.905075,212463,0,0
30,MT,2001,84.017479,40435,0,0;30,MT,2002,80.289787,41733,0,0;30,MT,2003,85.861084,42655,0,0;30,MT,2004,85.134895,43107,0,0;30,MT,2005,83.701744,43148,0,0;30,MT,2006,84.210602,43165,0,0;30,MT,2007,84.55603,42457,0,0;30,MT,2008,83.624168,42043,0,0;30,MT,2009,83.699837,41426,0,0;30,MT,2010,85.289864,40996,0,0;30,MT,2011,83.918037,40169,0,0;30,MT,2012,84.748833,38963,0,0;30,MT,2013,82.855858,38949,0,0;30,MT,2014,85.70533,38370,0,0
31,NE,2001,84.209824,49325,0,0;31,NE,2002,83.354111,51272,0,0;31,NE,2003,82.748032,52833,0,0;31,NE,2004,81.591454,54022,0,0;31,NE,2005,83.626251,53372,0,0;31,NE,2006,83.546509,53713,0,0;31,NE,2007,84.238037,53794,0,0;31,NE,2008,84.631531,54113,0,0;31,NE,2009,83.353012,53594,0,0;31,NE,2010,85.177399,52993,0,0;31,NE,2011,83.653488,51428,0,0;31,NE,2012,81.937973,50905,0,0;31,NE,2013,81.245087,50650,0,0;31,NE,2014,81.740593,49354,0,0
32,NV,2001,81.404694,70784,0,0;32,NV,2002,80.457191,76175,0,0;32,NV,2003,78.460709,80070,0,0;32,NV,2004,81.235893,82969,0,0;32,NV,2005,82.180511,84286,0,0;32,NV,2006,81.913284,85774,0,0;32,NV,2007,82.823235,87823,0,0;32,NV,2008,82.016495,89381,0,0;32,NV,2009,81.303902,89402,0,0;32,NV,2010,82.706848,90460,0,0;32,NV,2011,81.029137,92346,0,0;32,NV,2012,83.089569,93914,0,0;32,NV,2013,81.415001,95659,0,0;32,NV,2014,83.689804,90977,0,0
33,NH,2001,79.012802,34722,0,0;33,NH,2002,80.755875,35372,0,0;33,NH,2003,86.967773,36160,0,0;33,NH,2004,84.026405,37487,0,0;33,NH,2005,82.625031,38510,0,0;33,NH,2006,81.557152,38865,0,0;33,NH,2007,82.055557,39101,0,0;33,NH,2008,83.978119,39619,0,0;33,NH,2009,80.432579,39977,0,0;33,NH,2010,79.736504,39505,0,0;33,NH,2011,82.861832,38724,0,0;33,NH,2012,81.602409,38477,0,0;33,NH,2013,86.133446,39003,0,0;33,NH,2014,80.355766,38575,0,0
34,NJ,2001,82.621483,230227,0,0;34,NJ,2002,82.764206,238988,0,0;34,NJ,2003,82.586777,243787,0,0;34,NJ,2004,82.683937,247169,0,0;34,NJ,2005,83.308647,249108,0,0;34,NJ,2006,82.541489,252511,0,0;34,NJ,2007,83.533424,253467,0,0;34,NJ,2008,81.501907,255875,0,0;34,NJ,2009,82.717918,257070,0,0;34,NJ,2010,83.530548,258497,0,0;34,NJ,2011,83.221657,257054,0,0;34,NJ,2012,83.904228,259270,0,0;34,NJ,2013,84.190918,262600,0,0;34,NJ,2014,84.202232,259790,0,0
