1,38,2197,47.0,19.0,15600.0,3.0;2,32,1176,49.0,4.0,4200.0,4.0;2,27,2000,48.0,9.0,17000.0,3.0;1,39,1830,45.0,21.0,10338.0,3.0;2,27,2040,50.0,9.0,10000.0,1.0;1,30,1755,39.0,12.0,17000.0,3.0
1,26,2550,51.0,8.0,9980.0,3.0;1,52,1880,47.0,31.0,16500.0,1.0;1,37,1960,49.0,14.0,31000.0,4.0;1,30,2361,49.0,12.0,27000.0,2.0;1,42,1960,49.0,22.0,17000.0,1.0;2,44,240,20.0,13.0,1200.0,1.0
1,34,1936,48.0,11.0,28000.0,2.0;1,54,2016,48.0,36.0,20500.0,1.0;1,34,2100,48.0,14.0,24000.0,4.0;1,64,1656,41.0,45.0,3700.0,3.0;2,29,1763,47.0,11.0,23300.0,1.0;2,29,1591,43.0,11.0,9000.0,3.0
1,46,2091,51.0,28.0,16000.0,4.0;1,39,2400,48.0,17.0,25000.0,4.0;1,47,2665,51.0,29.0,13414.0,2.0;2,62,832,52.0,44.0,3000.0,2.0;1,29,2100,50.0,11.0,14000.0,3.0;1,25,1424,12.0,6.0,7100.0,1.0
1,31,3576,46.0,11.0,32000.0,3.0;1,26,2008,48.0,8.0,21000.0,3.0;2,43,2251,50.0,13.0,13000.0,2.0;2,52,1125,41.0,17.0,4000.0,2.0;2,25,2040,51.0,4.0,5500.0,3.0;1,25,1872,52.0,7.0,8000.0,3.0
1,29,2805,51.0,10.0,12000.0,2.0;1,31,2365,43.0,9.0,8000.0,4.0;1,31,2545,50.0,13.0,8592.0,2.0;1,32,2219,51.0,13.0,21980.0,2.0;1,44,2184,52.0,22.0,31432.0,1.0;1,55,2727,51.0,37.0,21934.0,3.0
2,29,1944,49.0,11.0,9378.0,3.0;2,25,2456,49.0,7.0,14350.0,3.0;2,47,2030,47.0,21.0,24000.0,3.0;1,34,2650,50.0,16.0,12385.0,3.0;2,36,1756,50.0,10.0,12500.0,3.0;2,60,2169,37.0,19.0,15000.0,3.0
2,55,2221,52.0,20.0,10000.0,3.0;1,44,1588,35.0,26.0,20000.0,4.0;1,37,1960,49.0,19.0,23000.0,2.0;1,49,1680,42.0,27.0,26000.0,4.0;1,27,2196,49.0,9.0,15800.0,3.0;2,28,1944,49.0,10.0,12000.0,3.0
2,30,2725,46.0,9.0,8000.0,3.0;1,29,1927,47.0,10.0,14500.0,2.0;2,41,2080,50.0,10.0,13000.0,3.0;1,37,1860,47.0,15.0,22500.0,3.0;1,29,2647,46.0,11.0,19666.0,3.0;2,26,1638,47.0,8.0,9700.0,1.0
1,38,1715,49.0,20.0,32000.0,2.0;2,44,1800,45.0,25.0,8500.0,3.0;2,52,2132,52.0,34.0,7280.0,4.0;1,31,2420,44.0,13.0,16000.0,2.0;2,32,2000,50.0,14.0,8700.0,3.0;1,60,524,13.0,41.0,3532.0,3.0
1,57,1880,47.0,39.0,20000.0,1.0;1,58,1880,47.0,39.0,17000.0,2.0;1,28,1920,48.0,10.0,19000.0,3.0;2,25,1880,47.0,6.0,14000.0,1.0;1,47,1881,42.0,29.0,12000.0,1.0;1,32,1776,43.0,14.0,22500.0,2.0
2,53,1560,52.0,20.0,3000.0,4.0;2,33,2000,50.0,15.0,12258.0,4.0;1,46,2010,49.0,28.0,16000.0,2.0;1,30,2018,50.0,9.0,25000.0,1.0;1,47,1400,35.0,28.0,7000.0,3.0;2,40,1020,0.0,9.0,5000.0,2.0
2,30,1968,47.0,12.0,18550.0,3.0;1,35,2287,45.0,17.0,9765.0,2.0;1,52,1968,49.0,34.0,18800.0,2.0;1,27,1984,50.0,8.0,4210.0,3.0;1,31,2560,51.0,13.0,16700.0,2.0;1,26,1924,48.0,8.0,17030.0,4.0
