1,391843,2001,172343.7192324,84.1028594970703;1,402936,2002,99609.6901113624,83.7266235351562;0,422062,2003,13485.8036452303,80.8538360595703;1,416896,2004,44860.1442934932,79.8697052001953;0,436470,2005,143039.907441224,87.4618453979492;1,427635,2006,101671.964391519,84.9541473388672;1,430536,2007,38266.0474255698,80.2394866943359;0,450734,2008,55786.9847715686,86.4623794555664;0,460708,2009,13248.8593544519,81.7480010986328;0,461761,2010,191423.472995974,88.8972702026367;0,460064,2011,152909.09086004,88.7087631225586;1,438598,2012,6313.28001653705,76.2155990600586;0,455966,2013,3697.61934859078,81.2038345336914;1,421258,2014,62682.0488115376,83.6653137207031
1,391846,2001,151043.009702158,84.6745834350586;1,402116,2002,45645.1865892767,79.6667404174805;1,411181,2003,135911.757913267,84.6089935302734;1,416102,2004,25951.4297564624,78.4428405761719;0,436546,2005,323099.903571415,88.4496994018555;0,441484,2006,84273.9910861088,87.4326477050781;1,431813,2007,152989.542419395,86.8110733032227;1,435582,2008,53128.3297973312,82.0909881591797;1,445950,2009,405425.818567301,87.3194122314453;1,444667,2010,105898.802088117,84.5957946777344;0,458190,2011,7156.88287082325,82.7738342285156;0,460231,2012,57434.8301115224,85.9238052368164;1,438753,2013,128222.038740895,86.4073944091797;1,421493,2014,75108.1583417155,85.0221481323242
0,400882,2001,79325.4089122564,84.0066833496094;0,413569,2002,31170.6462042586,83.3273315429687;1,410057,2003,39844.4412063958,78.1930923461914;1,417452,2004,84447.318067832,82.7160491943359;0,435041,2005,8907.50796681952,82.6129837036133;0,441073,2006,37432.5673155612,84.3098449707031;1,431141,2007,59419.0477367149,82.1915588378906;0,451256,2008,262254.149044921,89.6610336303711;1,445013,2009,57879.4770625997,81.5129852294922;0,461472,2010,81841.9787781324,87.0718536376953;0,458839,2011,17077.7510864071,83.8347854614258;1,442036,2012,117797.854111978,85.9081802368164;1,436428,2013,14790.6808421957,76.1109771728516;0,440782,2014,67433.1540162463,86.6344146728516
0,400159,2001,13383.1982124108,81.213005065918;0,412534,2002,7867.74381600417,82.3421020507812;0,422703,2003,38301.0983217957,83.3170776367187;1,416491,2004,36519.5132391727,78.6797027587891;1,420083,2005,6463.42251713773,76.2600555419922;1,426503,2006,34875.2329802387,79.1142196655273;1,430770,2007,43016.2130232635,80.2691192626953;1,435223,2008,40727.4081104532,80.3256378173828;0,462016,2009,132983.802700235,87.8345642089844;0,461829,2010,286664.568540394,88.6962509155273;0,460053,2011,132160.509991928,87.5093078613281;1,441976,2012,109280.267840623,84.7577056884766;1,437529,2013,33074.1576978203,79.4817886352539;1,421410,2014,76772.1807451767,85.0058898925781
0,400769,2001,65866.4929504766,84.7462921142578;1,402435,2002,62264.9063161497,79.6465759277344;0,422599,2003,25612.3929111565,82.0926361083984;0,430782,2004,148119.83747715,88.4387969970703;0,435466,2005,14137.2829932802,81.8193588256836;1,427264,2006,67852.0698680744,82.8794555664062;1,431919,2007,213803.893243508,85.2696380615234;0,451240,2008,135832.272840924,88.8703765869141;1,442966,2009,10168.0898484701,75.5183563232422;0,461612,2010,89378.5150314742,88.1747436523437;1,440502,2011,49087.8103154541,81.802864074707;0,460480,2012,93869.217363685,88.7447738647461;0,456936,2013,16337.9818563096,83.6882476806641;1,421248,2014,61230.414295934,83.1247100830078
1,389773,2001,19427.7589724911,76.080810546875;1,401813,2002,39472.0777613039,78.786750793457;0,423189,2003,117188.558365846,86.6518478393555;1,417618,2004,94843.6648347424,83.0541076660156;1,423039,2005,153667.591340822,85.5701293945312;1,427224,2006,62251.5384338806,81.8598022460937;0,445930,2007,102779.273380766,87.834716796875;1,434207,2008,18059.9775748287,76.4655914306641;1,444959,2009,52518.6549458503,82.0663909912109;0,461505,2010,95528.9498774638,87.7314682006836;0,459831,2011,84117.7836894095,87.9013977050781;1,441688,2012,69900.6136907652,83.0293273925781;0,455623,2013,1892.21260627329,81.0098571777344;0,441167,2014,1114030.4361048,91.0764770507812
0,400930,2001,89579.4293882187,86.0586013793945;1,402937,2002,110495.288215668,83.5763473510742;1,411157,2003,118881.835544347,83.3740692138672;1,412934,2004,383.186075946386,72.9551544189453;1,422659,2005,89197.0479977977,83.7144622802734;1,426362,2006,30213.6223337831,78.1532897949219;1,431956,2007,234190.99272571,85.14208984375;1,436380,2008,140049.273293018,84.9211578369141;0,461220,2009,35573.1458214065,85.238883972168;0,461013,2010,34670.529140017,85.1034088134766;1,440583,2011,50378.9514395489,82.634651184082;1,441034,2012,46100.9646576409,80.8800735473633;1,438269,2013,63366.8861960595,83.5271987915039;1,420746,2014,36320.6053367826,79.0455627441406
1,390329,2001,28410.8098237571,76.8761138916016;1,402970,2002,131044.418286092,84.0860595703125;0,422943,2003,65767.8116263148,84.3880310058594;1,416365,2004,29516.5204778628,78.0237884521484;0,435815,2005,33071.3239734935,84.3998107910156;0,441223,2006,60888.768245848,85.6098175048828;1,430141,2007,27804.0659425304,78.8987503051758;1,434918,2008,32529.078298242,78.9016799926758;1,443989,2009,28205.6195840716,78.3115997314453;0,461293,2010,62373.8851954631,86.9761428833008;0,460007,2011,124294.65537326,88.4986190795898;1,442055,2012,111975.269708493,86.0395889282227;0,457504,2013,45874.0832722873,86.0469055175781;0,440394,2014,32989.5808509656,86.1121826171875
1,389394,2001,8907.83626645944,75.4082717895508;1,402808,2002,101623.493220999,83.5059127807617;0,423249,2003,127190.538324413,86.8793716430664;1,416579,2004,37691.3444264356,78.5860366821289;1,421921,2005,43019.2897246054,80.5924987792969;1,427814,2006,171785.309542596,86.4088439941406;1,430353,2007,32457.9698771741,79.5558319091797;0,451202,2008,151782.074877557,87.8080596923828;0,462036,2009,177370.519415969,89.3503036499023;1,444101,2010,61803.4563300629,82.9069595336914;0,459746,2011,66993.5863189689,86.7068023681641;0,460585,2012,117424.22557201,88.2211074829102;1,438125,2013,58973.7832811705,83.5466842651367;0,440220,2014,17344.557530935,84.5740585327148
1,391227,2001,60680.3985626588,81.2381896972656;0,413813,2002,74227.3863818441,85.0563278198242;1,410588,2003,63682.7673190568,81.2554779052734;1,417546,2004,86084.4577863832,82.8458557128906;1,422831,2005,111877.906455607,83.9998016357422;1,425621,2006,17936.2845329997,77.2092361450195;0,445998,2007,107543.185341439,87.3995895385742;1,435705,2008,62541.5003331015,83.2725219726562;0,461843,2009,93655.4257239709,87.6194076538086;1,444420,2010,89219.673555107,85.5833053588867;1,441139,2011,91480.7735486631,83.7466812133789;1,440400,2012,30077.8413781248,78.95703125;0,457648,2013,59496.8593544414,86.7932968139648;0,439572,2014,20004.91918869,85.1176071166992
