0,0.1814809837387448,2001,0.10045956664359154,0.8638088353348962;0,0.3545088025802983,2002,0.0587770082586157,0.8757269256481943;0,0.4752855798951754,2003,0.03453036743425752,0.7755387170131497;0,0.5654616315011424,2004,0.0068079972980771885,0.5928491458120237;0,0.6432199973121893,2005,0.007150786504782362,0.5952869980319997;0,0.7175110872194598,2006,0.019106794523608212,0.716374151248864;0,0.7816825695471039,2007,0.03944390856491021,0.7738710837971441;0,0.8450611476952022,2008,0.013466563214040527,0.7171970606160684;0,0.9891681225641715,2009,0.01410049165722961,0.6900279628093317;0,0.9883214621690632,2010,0.019948578022466724,0.7410218305907533;0,0.9722752318236796,2011,0.05251914215694899,0.8965563994963214;0,0.9641580432737535,2012,0.006505960617708898,0.6974435441216372;0,0.9396586480311786,2013,0.02145447200131162,0.7953845255450943;0,0.7134928101061685,2014,0.03183405826925347,0.8611870702547141
0,0.17794651256551539,2001,0.03597700807864623,0.6898628439640353;0,0.35410563096358016,2002,0.04544773193715811,0.7228540591044951;0,0.46198091654347534,2003,0.0049451874959720605,0.5576405725193947;0,0.5744389195000672,2004,0.026590562884710883,0.7213028816594578;0,0.6503695739819917,2005,0.024714940782583086,0.7063475442934689;0,0.7204273619137213,2006,0.026102640018840176,0.7836000069806355;0,0.7778121220266093,2007,0.019555497067896107,0.7506973921961899;0,0.8507593065448192,2008,0.04085121762816519,0.7720168528616611;0,0.9833490122295391,2009,0.007657241092467639,0.6516314547373016;0,0.9853917484209112,2010,0.011634302486312647,0.6932732864556934;0,0.9691439322671684,2011,0.034477567185197185,0.8603322781836399;0,0.980244590780809,2012,0.05616659634248597,0.9124896968525392;0,0.9359763472651526,2013,0.012433530178336552,0.7526731130137845;0,0.7170004031716167,2014,0.0624936137742245,0.9081815045414418
0,0.1779868297271872,2001,0.03908080933174243,0.6987550978765465;0,0.3483268377906195,2002,0.021831692448711238,0.6437547488448427;0,0.468337589033732,2003,0.011734391785886289,0.7006066439527583;0,0.5752183846257224,2004,0.029581813160144223,0.7429532512303386;0,0.6545491197419702,2005,0.045237692739625385,0.7686577583036017;0,0.7158580835909152,2006,0.012250309536346093,0.6655326492311923;0,0.7839806477623975,2007,0.0698587105910853,0.9125470857195043;0,0.8432468754199705,2008,0.010056572879304542,0.7180488322204591;0,0.9924875688751512,2009,0.02686543154370141,0.7748191747279586;0,0.9866818975944094,2010,0.017902541666548845,0.8037347734918513;0,0.970044348877839,2011,0.03607214381740231,0.8712734153289378;0,0.9498857680419298,2012,0.0034946014939059773,0.6149851393039255;0,0.9360166644268243,2013,0.012841455477465409,0.7166879441764071;0,0.7159387179142588,2014,0.04471123882138197,0.8212544870710622
0,0.17672355866147024,2001,0.031214823191175915,0.6711429982897457;0,0.3448595618868432,2002,0.010571799776447737,0.694642900292383;0,0.4750436769251445,2003,0.03183380325748569,0.7678506224846238;0,0.5788200510684048,2004,0.04996821790856503,0.796287980690496;0,0.652949872328988,2005,0.0403966268907367,0.8245867330363906;0,0.7154817900819782,2006,0.014417571482044774,0.7065123275313536;0,0.7783093670205617,2007,0.024950143594747308,0.7761646248311926;0,0.8433006316355328,2008,0.013904858602195192,0.7618298255646949;0,0.9979707028625184,2009,0.051341401746864024,0.800249826155366;0,0.9928638623840882,2010,0.04291679089779981,0.8631453394870349;0,0.9705953500873539,2011,0.0404617234694878,0.8558082903084668;0,0.9710388388657438,2012,0.013984606719184169,0.7796532638491767;0,0.9421583120548314,2013,0.03324468743184085,0.8397139013958579;0,0.6854723827442548,2014,0.000566682449504245,0.5424177560483181
0,0.1746539443623169,2001,0.021017216447700073,0.6950050206868418;0,0.3494960354791023,2002,0.022892643206405598,0.7276616352403894;0,0.4755812390807687,2003,0.03596710735121876,0.7697853991983042;0,0.570864131165166,2004,0.01497362065632962,0.7367448497687006;0,0.6480311786050262,2005,0.0185045508719921,0.7119162780332887;0,0.7223088294584061,2006,0.03922118550798033,0.811597383873127;0,0.7779733906732966,2007,0.029213036302504287,0.7659682005267694;0,0.8248084934820589,2008,0.001477072061606228,0.5589769612225789;0,0.9858217981454106,2009,0.00851563822876264,0.6312050453875476;0,0.9774492675715629,2010,0.005838361713480026,0.6483643166093471;0,0.9636204811181293,2011,0.013369903191744621,0.7664481191218369;0,0.9541325090713614,2012,0.004886134861096627,0.5964663224677087;0,0.9416207498992071,2013,0.02890300333729069,0.8468213951065795;0,0.7099045827173767,2014,0.01696390245348074,0.7907105211580349
0,0.17054159387179144,2001,0.009123001852908284,0.5768349670702005;0,0.35520763338260986,2002,0.149210634428924,0.7462435462695248;0,0.4693992742910899,2003,0.012161822946897948,0.6216717813235828;0,0.5772073646015321,2004,0.03949755749872818,0.7886723773623413;0,0.6251713479371053,2005,0.0007659519180353548,0.572228419772379;0,0.7177933073511624,2006,0.017637221175787487,0.6783243256304737;0,0.78314742642118,2007,0.05855945648781005,0.8331192158063062;0,0.8431796801505174,2008,0.009632571368133386,0.6821690441095547;0,0.9447251713479371,2009,1.3850329580519244e-05,0.27232460485583526;0,0.9819379115710254,2010,0.007547707592513206,0.6613264815724675;0,0.9662007794651256,2011,0.017411482771746745,0.7534913238772627;0,0.9802177126730278,2012,0.049523762472950136,0.9216725867813655;0,0.9400349415401156,2013,0.0269010168323796,0.8000417495616994;0,0.7163150114231958,2014,0.05540592042193855,0.9200026043134966
0,0.17861846526004568,2001,0.04361234393525302,0.7076345987075099;0,0.34373068136003226,2002,0.00970840954823402,0.6200920772487719;0,0.46909017605160597,2003,0.013021519663181564,0.6591470470575295;0,0.5798011020024191,2004,0.10887629261625441,0.8966896356377491;0,0.6452627335035613,2005,0.012668822382773658,0.703101549432287;0,0.7250638355059804,2006,0.10002503294918341,0.878548377136814;0,0.780244590780809,2007,0.031850971006373345,0.816041832792335;0,0.8501814272275232,2008,0.03432877018096924,0.8040650111824402;0,0.9879720467679075,2009,0.011065037364251275,0.6943264225055649;0,0.9930654481924472,2010,0.03829674381043751,0.8582280197283487;0,0.9724902566859293,2011,0.06547231383061325,0.8634269141033001;0,0.9729203064104287,2012,0.021261281868390422,0.7843960677551087;0,0.9368364467141513,2013,0.016328183358951302,0.7262423515071488;0,0.7113560005375622,2014,0.024446858134604652,0.7947559328677807
0,0.17279935492541326,2001,0.013441519206750317,0.6550489449845497;0,0.3473995430721677,2002,0.017301044154374213,0.7427750436960859;0,0.472261792769789,2003,0.02359637240640248,0.7493210662113146;0,0.5732025265421314,2004,0.024339634729171382,0.7368770790879002;0,0.6543206558258299,2005,0.04633278118273855,0.7957026813689599;0,0.7248353715898401,2006,0.07677894376202195,0.856568105482752;0,0.7838865743851633,2007,0.07393732341097602,0.8868311679943337;0,0.8499932804730547,2008,0.03359926304529445,0.805828628117458;0,0.9856202123370514,2009,0.009366383383054051,0.6831963383889269;0,0.9912780540249967,2010,0.035839200723231913,0.8415825634499364;0,0.946808224700981,2011,0.0039467269439303725,0.6340892554616785;0,0.9760650450208306,2012,0.02854422017213896,0.827291393146629;0,0.9303050665233168,2013,0.008534201587691694,0.6827264880161323;0,0.7159521569681494,2014,0.04244131198600768,0.8756920224776421
0,0.18031178605026207,2001,0.053799840215896635,0.7265957461089702;0,0.3544147292030641,2002,0.06353978908834282,0.7888307840594562;0,0.47771804864937506,2003,0.05069228585462682,0.7624792259013782;0,0.5787528557989517,2004,0.06075322938354847,0.8839717928684784;0,0.628625184786991,2005,0.001522987659364492,0.5928347146934327;0,0.7155489853514313,2006,0.017160681534599716,0.7395411307016367;0,0.7840075258701787,2007,0.08503037218959318,0.9281575287481348;0,0.8539040451552211,2008,0.10761039159184269,0.9377364354197398;0,0.9899207095820455,2009,0.015002447678635343,0.7485572237481185;0,0.9930251310307754,2010,0.041929726540448305,0.8704005004577694;0,0.9640236527348475,2011,0.01600013206652319,0.7649224478399003;0,0.9697621287461363,2012,0.011524914159219524,0.7102214606171435;0,0.9274291089907271,2013,0.004687190188025363,0.6175451526208288;0,0.7073646015320522,2014,0.009626350793722843,0.7256396006003338
0,0.1539712404246741,2001,0.0007904687286888859,0.5622498046764868;0,0.35057115979035075,2002,0.026221400992597958,0.7599715673403016;0,0.46820319849482595,2003,0.009175553027693465,0.6199699161518446;0,0.5697486896922457,2004,0.012386543411115971,0.6759475539589616;0,0.6546700712269856,2005,0.05006839399174484,0.766810910731116;0,0.7251310307754334,2006,0.07215387366901334,0.8362725830225624;0,0.7676656363392017,2007,0.005158352985404095,0.6322759686301052;0,0.845034269587421,2008,0.01617800776963151,0.7521529215296187;0,0.997271872060207,2009,0.04400859124587823,0.853366746406988;0,0.9909823948394033,2010,0.03070544912451222,0.8294765329875255;0,0.9566859293105765,2011,0.005324396362534139,0.6091170437551537;0,0.9778658782421717,2012,0.0384809602329367,0.8974313280119445;0,0.9419029700309098,2013,0.02959122627719923,0.8250052354755865;0,0.7082112619271603,2014,0.014310186349828257,0.7759599043116169
